state_name,report_date,Medicaid_Enrollment
North Dakota,09/01/2019,89537
Ohio,09/01/2019,2633478
Oklahoma,09/01/2019,727681
Oregon,09/01/2019,989593
Pennsylvania,09/01/2019,2992777
Rhode Island,09/01/2019,298266
South Carolina,09/01/2019,1057940
South Dakota,09/01/2019,109764
Tennessee,09/01/2019,1452409
Texas,09/01/2019,4220878
Utah,09/01/2019,309138
Vermont,09/01/2019,152941
Virginia,09/01/2019,1356188
Washington,09/01/2019,1720383
West Virginia,09/01/2019,514946
Wisconsin,09/01/2019,1046849
Wyoming,09/01/2019,55874
United States,10/01/2019,71412933
Alabama,10/01/2019,920853
Alaska,10/01/2019,221675
Arizona,10/01/2019,1719616
Arkansas,10/01/2019,804662
California,10/01/2019,11697526
Colorado,10/01/2019,1279668
Connecticut,10/01/2019,851428
Delaware,10/01/2019,230969
District of Columbia,10/01/2019,253818
Florida,10/01/2019,3640328
Georgia,10/01/2019,1847785
Hawaii,10/01/2019,327236
Idaho,10/01/2019,264965
Illinois,10/01/2019,2839280
Indiana,10/01/2019,1317874
Iowa,10/01/2019,679643
Kansas,10/01/2019,375504
Kentucky,10/01/2019,1298786
Louisiana,10/01/2019,1497897
Maine,10/01/2019,260536
Maryland,10/01/2019,1329774
Massachusetts,10/01/2019,1593664
Michigan,10/01/2019,2307060
Minnesota,10/01/2019,1044497
Mississippi,10/01/2019,618791
Missouri,10/01/2019,854854
Montana,10/01/2019,265908
Nebraska,10/01/2019,246842
Nevada,10/01/2019,630701
New Hampshire,10/01/2019,178976
New Jersey,10/01/2019,1703930
New Mexico,10/01/2019,739975
New York,10/01/2019,6048395
North Carolina,10/01/2019,1776989
North Dakota,10/01/2019,91269
Ohio,10/01/2019,2643620
Oklahoma,10/01/2019,729961
Oregon,10/01/2019,991798
Pennsylvania,10/01/2019,2993527
Rhode Island,10/01/2019,298297
South Carolina,10/01/2019,1056098
South Dakota,10/01/2019,109732
Tennessee,10/01/2019,1449266
Texas,10/01/2019,4212619
Utah,10/01/2019,308966
Vermont,10/01/2019,151750
Virginia,10/01/2019,1368331
Washington,10/01/2019,1720588
West Virginia,10/01/2019,514890
Wisconsin,10/01/2019,1045935
Wyoming,10/01/2019,55881
United States,11/01/2019,71153604
Alabama,11/01/2019,921376
Alaska,11/01/2019,222498
Arizona,11/01/2019,1716801
Arkansas,11/01/2019,802473
California,11/01/2019,11622664
Colorado,11/01/2019,1281127
Connecticut,11/01/2019,847287
Delaware,11/01/2019,231026
District of Columbia,11/01/2019,254018
Florida,11/01/2019,3621088
Georgia,11/01/2019,1835963
Hawaii,11/01/2019,326784
Idaho,11/01/2019,266732
Illinois,11/01/2019,2830341
Indiana,11/01/2019,1317697
Iowa,11/01/2019,679156
Kansas,11/01/2019,374705
Kentucky,11/01/2019,1291181
Louisiana,11/01/2019,1486213
Maine,11/01/2019,262638
Maryland,11/01/2019,1328056
Massachusetts,11/01/2019,1590859
Michigan,11/01/2019,2309976
Minnesota,11/01/2019,1039954
Mississippi,11/01/2019,616683
Missouri,11/01/2019,849715
Montana,11/01/2019,263824
Nebraska,11/01/2019,247563
Nevada,11/01/2019,626688
New Hampshire,11/01/2019,180333
New Jersey,11/01/2019,1711338
New Mexico,11/01/2019,740696
New York,11/01/2019,6002034
North Carolina,11/01/2019,1769511
North Dakota,11/01/2019,89466
Ohio,11/01/2019,2617148
Oklahoma,11/01/2019,716103
Oregon,11/01/2019,991693
