date,y
2030-12-01,146780233.86460528
2031-01-01,147362810.9900487
2031-02-01,147992113.04018798
2031-03-01,148545002.39017892
2031-04-01,149085992.26100138
2031-05-01,149679263.32206705
2031-06-01,149857544.66842145
2031-07-01,150531214.45577008
2031-08-01,151389153.94357067
2031-09-01,151320851.5748377
2031-10-01,152078178.02085525
2031-11-01,152708883.50886765
2031-12-01,153462155.97700298
2032-01-01,154044733.1024464
2032-02-01,154674035.1525857
2032-03-01,155226924.5025766
2032-04-01,155767914.37339908
2032-05-01,156361185.43446478
2032-06-01,156539466.78081915
2032-07-01,157213136.56816778
2032-08-01,158071076.0559684
2032-09-01,158002773.68723541
2032-10-01,158760100.13325292
2032-11-01,159390805.62126535
2032-12-01,160144078.0894007
2033-01-01,160726655.2148441
2033-02-01,161355957.2649834
2033-03-01,161908846.61497432
2033-04-01,162449836.48579678
2033-05-01,163043107.54686245
2033-06-01,163221388.89321685
2033-07-01,163895058.6805655
2033-08-01,164752998.1683661
2033-09-01,164684695.79963312
2033-10-01,165442022.24565065
2033-11-01,166072727.73366305
2033-12-01,166826000.20179838
2034-01-01,167408577.3272418
